true_label,pred_label,correct,confidence,logit_0,logit_1,logit_2
2,1,0,0.5513701438903809,-0.8017526865005493,-0.5953489542007446,-9.341337203979492
1,1,1,0.6767808794975281,-1.1308622360229492,-0.39040762186050415,-7.675139427185059
2,0,0,0.7041826248168945,-0.35071754455566406,-1.2182377576828003,-9.618000984191895
2,0,0,0.8955066800117493,-0.1103655993938446,-2.259363889694214,-9.479578018188477
0,0,1,0.9871476292610168,-0.012935676611959934,-4.355109691619873,-11.387901306152344
0,0,1,0.8073908090591431,-0.21394746005535126,-1.6473084688186646,-10.085500717163086
1,1,1,0.9935249090194702,-5.052470684051514,-0.006496145389974117,-9.413945198059082
1,1,1,0.7500120997428894,-1.3865246772766113,-0.2876659333705902,-9.998506546020508
2,1,0,0.8808325529098511,-2.1276402473449707,-0.1268877387046814,-9.916802406311035
2,0,0,0.9978109002113342,-0.0021914993412792683,-6.137009620666504,-10.49150562286377
1,1,1,0.997257649898529,-5.90198278427124,-0.002746117301285267,-11.696678161621094
2,0,0,0.7408004403114319,-0.30002400279045105,-1.3507299423217773,-8.815384864807129
1,1,1,0.9987736344337463,-6.706179618835449,-0.0012271181913092732,-12.725464820861816
1,1,1,0.958935022354126,-3.1942708492279053,-0.041931960731744766,-9.587864875793457
1,1,1,0.9859930276870728,-4.273316383361816,-0.014105996116995811,-9.545795440673828
2,0,0,0.7109664678573608,-0.34113001823425293,-1.2412712574005127,-10.986011505126953
0,0,1,0.9988722205162048,-0.0011284159263595939,-6.788331508636475,-13.911654472351074
0,0,1,0.9802785515785217,-0.01991851069033146,-3.926312208175659,-12.158620834350586
1,1,1,0.9983136653900146,-6.393249988555908,-0.0016877580201253295,-11.207635879516602
1,1,1,0.9959636926651001,-5.525859355926514,-0.00404447503387928,-9.829998970031738
0,0,1,0.9707092046737671,-0.02972833625972271,-3.5326778888702393,-9.652998924255371
1,1,1,0.7395390868186951,-1.3458166122436523,-0.30172812938690186,-8.918244361877441
1,1,1,0.9936034083366394,-5.0702972412109375,-0.006417137570679188,-9.061507225036621
0,0,1,0.9453354477882385,-0.05621544271707535,-2.9070589542388916,-10.467732429504395
1,1,1,0.9801336526870728,-3.9279003143310547,-0.020066335797309875,-8.614744186401367
0,0,1,0.9745734930038452,-0.025755347684025764,-3.674004077911377,-9.8671293258667
0,0,1,0.9994310736656189,-0.0005690882098861039,-7.477552890777588,-12.640875816345215
0,0,1,0.9382966756820679,-0.06368909776210785,-2.7856569290161133,-11.12677001953125
2,0,0,0.602371335029602,-0.5068811774253845,-0.9224462509155273,-9.39332389831543
2,1,0,0.9277752637863159,-2.632107973098755,-0.07496574521064758,-8.118136405944824
2,1,0,0.8786603212356567,-2.1092467308044434,-0.12935689091682434,-11.478477478027344
1,1,1,0.9961774349212646,-5.5692033767700195,-0.0038298896979540586,-11.60973834991455
2,0,0,0.9973244667053223,-0.002679118886590004,-5.9264912605285645,-11.767151832580566
0,0,1,0.8123754858970642,-0.20779262483119965,-1.6736373901367188,-9.705811500549316
2,1,0,0.6708148121833801,-1.1115128993988037,-0.3992621600627899,-8.992420196533203
0,0,1,0.9847589135169983,-0.015358425676822662,-4.185262203216553,-10.684127807617188
0,0,1,0.9970201849937439,-0.0029842634685337543,-5.8162455558776855,-13.747488975524902
1,1,1,0.9920991659164429,-4.8510918617248535,-0.007932211272418499,-9.420232772827148
1,1,1,0.9959812164306641,-5.566009044647217,-0.0040268804877996445,-8.552756309509277
1,1,1,0.9914591312408447,-4.773935794830322,-0.008577550761401653,-9.274452209472656
2,1,0,0.6399325132369995,-1.0235681533813477,-0.44639256596565247,-7.186209201812744
0,0,1,0.9966257810592651,-0.0033799244556576014,-5.721674919128418,-9.210073471069336
2,1,0,0.8946516513824463,-2.251701593399048,-0.1113208532333374,-8.960381507873535
1,0,0,0.8059408664703369,-0.21574483811855316,-1.6397464275360107,-10.41780948638916
1,1,1,0.983535647392273,-4.115745544433594,-0.01660139672458172,-8.801149368286133
2,0,0,0.5446774363517761,-0.6075615286827087,-0.7892202138900757,-6.7911601066589355
2,0,0,0.9971364736557007,-0.0028676341753453016,-5.872762680053711,-9.934362411499023
0,0,1,0.98421311378479,-0.015912827104330063,-4.15225076675415,-9.758309364318848
1,1,1,0.9829980134963989,-4.087944030761719,-0.017148179933428764,-8.38497257232666
1,1,1,0.9784823060035706,-3.876354932785034,-0.021752575412392616,-7.141598224639893
2,0,0,0.7364934682846069,-0.3058549165725708,-1.3338972330093384,-9.755226135253906
1,1,1,0.9957259893417358,-5.4616899490356445,-0.004283170215785503,-10.494507789611816
0,0,1,0.9117375016212463,-0.09240315854549408,-2.42917799949646,-8.783320426940918
0,0,1,0.9962776303291321,-0.003729315008968115,-5.595454692840576,-11.789932250976562
0,0,1,0.5309049487113953,-0.6331722736358643,-0.7577207088470459,-7.9254655838012695
0,0,1,0.9934141039848328,-0.006607678718864918,-5.024080276489258,-11.697924613952637
0,0,1,0.9736745953559875,-0.026678122580051422,-3.638580322265625,-10.237869262695312
1,1,1,0.9933041930198669,-5.040360450744629,-0.00671832449734211,-8.402325630187988
0,0,1,0.9979357719421387,-0.0020663614850491285,-6.1843953132629395,-12.785528182983398
1,1,1,0.9988943934440613,-6.829176425933838,-0.0011062182020395994,-10.643218994140625
1,1,1,0.9807420969009399,-3.9544756412506104,-0.01944575272500515,-9.32544231414795
2,1,0,0.9854824542999268,-4.241002082824707,-0.014623956754803658,-8.991952896118164
0,0,1,0.7898274660110474,-0.23594075441360474,-1.5601351261138916,-9.642386436462402
2,0,0,0.6185712814331055,-0.4803428649902344,-0.9640398025512695,-9.439631462097168
0,0,1,0.9736225008964539,-0.02673162706196308,-3.636486053466797,-10.327690124511719
2,1,0,0.5838293433189392,-0.876862108707428,-0.5381465554237366,-9.382110595703125
1,1,1,0.9285707473754883,-2.6400017738342285,-0.07410870492458344,-9.59451675415039
0,0,1,0.9933539628982544,-0.0066682202741503716,-5.015262603759766,-11.495482444763184
0,0,1,0.9909220337867737,-0.009119422174990177,-4.702731609344482,-11.813457489013672
0,0,1,0.8818531632423401,-0.1257297247648239,-2.1363022327423096,-9.78780460357666
1,1,1,0.8883876800537109,-2.1941373348236084,-0.11834705621004105,-8.755001068115234
0,0,1,0.9825328588485718,-0.017621491104364395,-4.054489612579346,-9.0045747756958
0,0,1,0.9914705157279968,-0.008566068485379219,-4.766246318817139,-10.968368530273438
1,1,1,0.997336208820343,-5.941642761230469,-0.0026673453394323587,-10.228737831115723
1,1,1,0.7840487957000732,-1.5345141887664795,-0.24328401684761047,-7.847390174865723
2,0,0,0.5970144867897034,-0.5158138871192932,-0.9094010591506958,-8.421174049377441
1,1,1,0.9980000853538513,-6.234114646911621,-0.0020019172225147486,-10.165032386779785
0,0,1,0.984855592250824,-0.015260254964232445,-4.190330505371094,-12.674254417419434
1,1,1,0.9895859360694885,-4.56622838973999,-0.010468670167028904,-10.983656883239746
1,1,1,0.9753168821334839,-3.7089290618896484,-0.02499285340309143,-8.62635326385498
0,0,1,0.9891575574874878,-0.010901650413870811,-4.526310920715332,-10.72971248626709
2,0,0,0.9410827159881592,-0.06072423979640007,-2.8316447734832764,-13.448271751403809
1,1,1,0.9975785613059998,-6.038592338562012,-0.0024243751540780067,-10.21664810180664
0,0,1,0.9790409803390503,-0.021181777119636536,-3.867201089859009,-10.072680473327637
0,0,1,0.9985098242759705,-0.0014912871411070228,-6.513942241668701,-11.798551559448242
2,0,0,0.9667698740959167,-0.033794790506362915,-3.408658027648926,-8.841968536376953
0,0,1,0.8946486711502075,-0.11132418364286423,-2.251077651977539,-9.631589889526367
2,0,0,0.8852406740188599,-0.12189572304487228,-2.1653919219970703,-9.820210456848145
2,1,0,0.7888439297676086,-1.5552505254745483,-0.23718678951263428,-10.838430404663086
1,1,1,0.9909223914146423,-4.710506916046143,-0.009119060821831226,-9.467153549194336
0,0,1,0.6761958003044128,-0.3912726044654846,-1.127659797668457,-11.16966724395752
2,1,0,0.9949039220809937,-5.279507637023926,-0.005109107121825218,-13.655194282531738
1,1,1,0.9879701733589172,-4.42812442779541,-0.012102770619094372,-9.28307056427002
2,1,0,0.8102710247039795,-1.6626274585723877,-0.2103864848613739,-9.327476501464844
1,1,1,0.9922926425933838,-4.890176773071289,-0.007737212814390659,-8.58292007446289
0,0,1,0.9988272786140442,-0.0011734095169231296,-6.751067161560059,-12.700275421142578
1,1,1,0.9017515778541565,-2.3288848400115967,-0.10341621190309525,-7.0772576332092285
0,0,1,0.9980965256690979,-0.001905288198031485,-6.266567230224609,-12.259766578674316
2,0,0,0.972929835319519,-0.027443310245871544,-3.609744071960449,-11.383485794067383
2,0,0,0.9568653702735901,-0.0440925769507885,-3.1437315940856934,-11.2496976852417
1,1,1,0.9369239211082458,-2.7642292976379395,-0.06515319645404816,-9.874923706054688
1,1,1,0.9915814995765686,-4.779827117919922,-0.008454136550426483,-10.77042293548584
0,0,1,0.9984094500541687,-0.0015918161952868104,-6.4497809410095215,-11.539048194885254
2,1,0,0.5369353890419006,-0.7699171900749207,-0.6218774318695068,-11.238475799560547
1,1,1,0.9834131002426147,-4.09963846206665,-0.016726002097129822,-11.70211124420166
1,1,1,0.5866300463676453,-0.8839552402496338,-0.5333608388900757,-8.402344703674316
2,1,0,0.6822540163993835,-1.1471819877624512,-0.3823532462120056,-8.442023277282715
1,1,1,0.9975023865699768,-5.993717670440674,-0.0025007377844303846,-12.649276733398438
1,1,1,0.9929760694503784,-4.978001594543457,-0.007048714440315962,-8.901930809020996
0,0,1,0.9991022348403931,-0.0008981683640740812,-7.027223110198975,-11.474264144897461
0,0,1,0.9217959046363831,-0.08143144100904465,-2.5487289428710938,-10.672191619873047
1,1,1,0.9916417598724365,-4.786982536315918,-0.008393365889787674,-10.786746978759766
1,1,1,0.9962097406387329,-5.579968452453613,-0.0037974605802446604,-10.9512300491333
1,1,1,0.9907846450805664,-4.688483238220215,-0.009258079342544079,-11.124228477478027
0,0,1,0.8700351119041443,-0.13922171294689178,-2.040583610534668,-11.328154563903809
1,1,1,0.9847901463508606,-4.188884735107422,-0.015326709486544132,-9.973186492919922
1,1,1,0.995563268661499,-5.4209208488464355,-0.004446602892130613,-11.196145057678223
1,1,1,0.9136716723442078,-2.4830501079559326,-0.09028398990631104,-5.863913059234619
0,0,1,0.9511839151382446,-0.050047844648361206,-3.020231246948242,-10.549293518066406
2,1,0,0.6745144128799438,-1.122808575630188,-0.3937622308731079,-9.020557403564453
0,0,1,0.9631169438362122,-0.03758043795824051,-3.3010387420654297,-10.170805931091309
1,1,1,0.815022349357605,-1.6912091970443726,-0.20453974604606628,-7.2918925285339355
1,1,1,0.9885895252227783,-4.492997646331787,-0.011476073414087296,-8.406306266784668
2,0,0,0.6725767850875854,-0.39663898944854736,-1.1165515184402466,-11.02520751953125
1,1,1,0.9700056910514832,-3.5068514347076416,-0.030453341081738472,-12.684100151062012
2,1,0,0.9736465811729431,-3.6365973949432373,-0.026706894859671593,-11.365007400512695
1,0,0,0.9118491411209106,-0.09228071570396423,-2.429436683654785,-9.648676872253418
0,0,1,0.9949323534965515,-0.005080530419945717,-5.286804676055908,-11.544916152954102
1,1,1,0.9886986613273621,-4.4846110343933105,-0.011365683749318123,-10.81977653503418
1,1,1,0.9903462529182434,-4.647093296051025,-0.009700646623969078,-9.651735305786133
0,0,1,0.9463018178939819,-0.055193714797496796,-2.9244863986968994,-12.045645713806152
0,0,1,0.9971495270729065,-0.002854543272405863,-5.868227958679199,-10.69732666015625
2,0,0,0.9471901059150696,-0.05425545945763588,-2.9416894912719727,-10.305808067321777
1,1,1,0.9801456332206726,-3.9215247631073,-0.020054113119840622,-10.042251586914062
1,1,1,0.9881777167320251,-4.448617935180664,-0.011892721988260746,-8.966716766357422
1,1,1,0.969993531703949,-3.5074985027313232,-0.030465876683592796,-10.268372535705566
0,0,1,0.9978803396224976,-0.002121909987181425,-6.1721649169921875,-10.319782257080078
2,1,0,0.5993813276290894,-0.9160779714584351,-0.511857271194458,-7.535947322845459
2,0,0,0.5354052782058716,-0.6247313022613525,-0.7668727040290833,-8.937305450439453
1,1,1,0.985822856426239,-4.260753631591797,-0.014278599061071873,-9.632614135742188
0,0,1,0.9940953254699707,-0.005922175943851471,-5.1380743980407715,-10.241737365722656
0,0,1,0.7138334512710571,-0.3371056020259857,-1.2515558004379272,-9.141438484191895
0,0,1,0.5804774761199951,-0.5439043045043945,-0.8687394261360168,-10.065581321716309
0,0,1,0.9993996620178223,-0.0006005182513035834,-7.426927089691162,-12.136943817138672
