true_label,pred_label,correct,confidence,logit_0,logit_1
1,1,1,0.932989776134491,-2.7029106616973877,-0.06936103850603104
1,1,1,0.614945113658905,-0.9543695449829102,-0.4862222671508789
0,1,0,0.671449601650238,-1.1130651235580444,-0.39831632375717163
1,1,1,0.8840778470039368,-2.154836893081665,-0.12321015447378159
1,1,1,0.9353442788124084,-2.738678455352783,-0.06684060394763947
0,0,1,0.977914571762085,-0.022332962602376938,-3.812837839126587
0,0,1,0.6472761034965515,-0.43498241901397705,-1.042069673538208
0,1,0,0.5049946904182434,-0.7031868696212769,-0.6832073926925659
0,0,1,0.9168388843536377,-0.08682352304458618,-2.48697566986084
1,0,0,0.7074887752532959,-0.34603351354599,-1.2292522192001343
0,1,0,0.5836051106452942,-0.8761212825775146,-0.538530707359314
1,1,1,0.6087732911109924,-0.9384680986404419,-0.4963093400001526
1,0,0,0.5785015225410461,-0.5473141074180603,-0.8639391660690308
1,1,1,0.926797091960907,-2.6145198345184326,-0.07602062076330185
1,1,1,0.9493215680122375,-2.982254981994629,-0.05200768634676933
1,1,1,0.772173285484314,-1.4791697263717651,-0.25854629278182983
1,1,1,0.6456385254859924,-1.0374377965927124,-0.4375154972076416
0,1,0,0.7236848473548889,-1.2862131595611572,-0.32339927554130554
1,1,1,0.9324191808700562,-2.6944305896759033,-0.06997279822826385
0,1,0,0.8236814141273499,-1.7354629039764404,-0.1939714550971985
1,0,0,0.5114585161209106,-0.6704887747764587,-0.7163309454917908
0,0,1,0.9609413743019104,-0.039841875433921814,-3.2426908016204834
1,1,1,0.9183728694915771,-2.505594253540039,-0.0851517915725708
0,0,1,0.927871823310852,-0.07486167550086975,-2.629309892654419
0,0,1,0.8293173313140869,-0.1871524155139923,-1.7679495811462402
1,1,1,0.7288239002227783,-1.304986834526062,-0.3163231313228607
1,1,1,0.9559614658355713,-3.122690200805664,-0.04503767564892769
1,1,1,0.6894972920417786,-1.169562578201294,-0.3717925250530243
0,0,1,0.6774190664291382,-0.38946518301963806,-1.1314014196395874
0,0,1,0.7703002095222473,-0.2609749734401703,-1.4709820747375488
1,1,1,0.8764920234680176,-2.091449499130249,-0.13182766735553741
0,0,1,0.78782057762146,-0.23848490417003632,-1.5503230094909668
0,0,1,0.9185518026351929,-0.08495697379112244,-2.5077874660491943
1,0,0,0.7131508588790894,-0.3380622863769531,-1.2487988471984863
0,0,1,0.7402618527412415,-0.30075129866600037,-1.3480812311172485
1,1,1,0.7695352435112,-1.4676569700241089,-0.2619685232639313
1,1,1,0.6661458611488342,-1.0970511436462402,-0.4062466323375702
0,1,0,0.8525950908660889,-1.914571762084961,-0.15947052836418152
1,1,1,0.722555935382843,-1.282136082649231,-0.3249604403972626
0,1,0,0.6969549655914307,-1.1938740015029907,-0.36103448271751404
1,1,1,0.8315302133560181,-1.7809985876083374,-0.18448764085769653
1,1,1,0.7690469026565552,-1.4655405282974243,-0.2626033127307892
1,1,1,0.5414526462554932,-0.7796916365623474,-0.613499641418457
0,0,1,0.5575267672538757,-0.5842447876930237,-0.8153753876686096
0,1,0,0.5039000511169434,-0.7009779810905457,-0.6853773593902588
0,1,0,0.6024827361106873,-0.922516942024231,-0.5066962838172913
1,1,1,0.8438146114349365,-1.8567111492156982,-0.16982246935367584
1,1,1,0.809089720249176,-1.6559514999389648,-0.21184547245502472
1,1,1,0.9208288192749023,-2.5361430644989014,-0.08248112350702286
1,0,0,0.660179078578949,-0.4152442514896393,-1.079336404800415
1,1,1,0.9128053188323975,-2.4396119117736816,-0.09123264998197556
1,1,1,0.8467665314674377,-1.875792384147644,-0.1663302630186081
0,0,1,0.5300744771957397,-0.6347377300262451,-0.755181074142456
1,1,1,0.8171313405036926,-1.6989872455596924,-0.20195543766021729
1,1,1,0.8050209283828735,-1.634863257408142,-0.2168869972229004
1,0,0,0.7997716665267944,-0.22342900931835175,-1.6082966327667236
1,1,1,0.7676019072532654,-1.4593034982681274,-0.2644840180873871
1,1,1,0.7986908555030823,-1.602913498878479,-0.2247813194990158
1,0,0,0.7322978377342224,-0.3115679621696472,-1.317880392074585
0,1,0,0.9361184239387512,-2.750725269317627,-0.06601329147815704
0,0,1,0.7744789719581604,-0.25556477904319763,-1.4893418550491333
0,1,0,0.598410427570343,-0.9123245477676392,-0.5134783983230591
1,1,1,0.9597212672233582,-3.2119312286376953,-0.04111238196492195
0,0,1,0.9103901386260986,-0.09388204663991928,-2.412289619445801
1,1,1,0.916169285774231,-2.4789555072784424,-0.08755411952733994
1,1,1,0.8772873282432556,-2.097909688949585,-0.13092070817947388
0,0,1,0.7833687663078308,-0.24415172636508942,-1.529558777809143
0,0,1,0.9338297843933105,-0.0684610977768898,-2.715524911880493
1,1,1,0.8426530957221985,-1.8493024110794067,-0.17119991779327393
0,1,0,0.5360946655273438,-0.7680748701095581,-0.6234444975852966
1,1,1,0.9738888144493103,-3.6453912258148193,-0.0264581348747015
1,1,1,0.9387578964233398,-2.7929205894470215,-0.06319766491651535
1,1,1,0.9421795606613159,-2.850411891937256,-0.059559404850006104
0,0,1,0.8835451006889343,-0.12381293624639511,-2.150251626968384
1,1,1,0.5844662189483643,-0.878191351890564,-0.5370563268661499
1,1,1,0.834453284740448,-1.79850172996521,-0.18097852170467377
0,0,1,0.6994478702545166,-0.35746392607688904,-1.202134132385254
1,1,1,0.9151819348335266,-2.4672462940216064,-0.08863239735364914
1,1,1,0.8684224486351013,-2.028158664703369,-0.14107699692249298
1,0,0,0.890224814414978,-0.11628124862909317,-2.2093207836151123
0,0,1,0.8031893372535706,-0.21916480362415314,-1.6255130767822266
1,1,1,0.5585489273071289,-0.8176879286766052,-0.5824130773544312
0,0,1,0.6945806741714478,-0.3644469678401947,-1.1860698461532593
1,1,1,0.9391445517539978,-2.7992544174194336,-0.06278587132692337
0,1,0,0.8873462080955505,-2.1834359169006348,-0.11952006071805954
1,1,1,0.881837785243988,-2.1356968879699707,-0.12574715912342072
1,0,0,0.8579617142677307,-0.1531957983970642,-1.9516587257385254
1,0,0,0.5217260122299194,-0.6506127119064331,-0.7375715970993042
0,1,0,0.6034083962440491,-0.9248483180999756,-0.5051610469818115
0,1,0,0.8872470855712891,-2.18255615234375,-0.11963177472352982
1,1,1,0.8984805345535278,-2.2875044345855713,-0.10705024003982544
0,0,1,0.8834807276725769,-0.12388580292463303,-2.1496987342834473
1,1,1,0.6618672013282776,-1.084316372871399,-0.41269034147262573
0,1,0,0.9146841764450073,-2.461395502090454,-0.08917643129825592
1,1,1,0.7688764929771423,-1.4648030996322632,-0.2628249228000641
1,0,0,0.5579022169113159,-0.5835715532302856,-0.816224217414856
1,1,1,0.7558861374855042,-1.4101206064224243,-0.27986451983451843
0,1,0,0.8611042499542236,-1.974031686782837,-0.14953969419002533
0,1,0,0.8319810032844543,-1.7836781740188599,-0.1839456707239151
1,0,0,0.5334908366203308,-0.6283133625984192,-0.7624776363372803
1,1,1,0.7920211553573608,-1.5703188180923462,-0.23316717147827148
1,1,1,0.6966351866722107,-1.192819356918335,-0.36149340867996216
1,1,1,0.9439010620117188,-2.8806376457214355,-0.0577339269220829
0,0,1,0.945965051651001,-0.055549655109643936,-2.918124198913574
1,0,0,0.6069296598434448,-0.4993423819541931,-0.933766782283783
0,0,1,0.7494661808013916,-0.28839409351348877,-1.3841614723205566
1,1,1,0.8661684989929199,-2.011173725128174,-0.1436758190393448
1,1,1,0.6857534646987915,-1.157577395439148,-0.37723711133003235
0,0,1,0.723263680934906,-0.3239814341068268,-1.284690022468567
0,0,1,0.8715381622314453,-0.13749562203884125,-2.052123546600342
